2023,2024
Massachusetts Institute of Technology (MIT) ,Massachusetts Institute of Technology (MIT) 
University of Cambridge,University of Cambridge
Stanford University,University of Oxford
University of Oxford,Harvard University
Harvard University,Stanford University
California Institute of Technology (Caltech),Imperial College London
Imperial College London,ETH Zurich - Swiss Federal Institute of Technology
UCL,National University of Singapore (NUS)
ETH Zurich - Swiss Federal Institute of Technology,UCL
University of Chicago,"University of California, Berkeley (UCB)"
National University of Singapore (NUS),University of Chicago
Peking University,University of Pennsylvania
University of Pennsylvania,Cornell University
Tsinghua University,The University of Melbourne
The University of Edinburgh,California Institute of Technology (Caltech)
EPFL – École polytechnique fédérale de Lausanne,Yale University
Princeton University,Peking University
Yale University,Princeton University
"Nanyang Technological University, Singapore (NTU Singapore)",The University of New South Wales (UNSW Sydney)
Cornell University,The University of Sydney
